district,year,metric,value
강서구,2015,인구 10만명당 사망자수 (명),2.0
강서구,2015,자동차 1만대당 발생건수 (건),92.2
강서구,2016,발생건수 (건),1691.0
강서구,2016,부상자수 (명),2230.0
강서구,2016,사망자수 (명),13.0
강서구,2016,인구 10만명당 부상자수 (명),370.4
강서구,2016,인구 10만명당 사망자수 (명),2.2
강서구,2016,자동차 1만대당 발생건수 (건),78.7
강서구,2017,발생건수 (건),1584.0
강서구,2017,부상자수 (명),2155.0
강서구,2017,사망자수 (명),12.0
강서구,2017,인구 10만명당 부상자수 (명),354.3
강서구,2017,인구 10만명당 사망자수 (명),2.0
강서구,2017,자동차 1만대당 발생건수 (건),71.8
강서구,2018,발생건수 (건),1502.0
강서구,2018,부상자수 (명),2208.0
강서구,2018,사망자수 (명),11.0
강서구,2018,인구 10만명당 부상자수 (명),365.8
강서구,2018,인구 10만명당 사망자수 (명),1.8
강서구,2018,자동차 1만대당 발생건수 (건),67.4
강서구,2019,발생건수 (건),1829.0
강서구,2019,부상자수 (명),2491.0
강서구,2019,사망자수 (명),20.0
강서구,2019,인구 10만명당 부상자수 (명),416.4
강서구,2019,인구 10만명당 사망자수 (명),3.3
강서구,2019,자동차 1만대당 발생건수 (건),81.9
강서구,2020,발생건수 (건),1575.0
강서구,2020,부상자수 (명),2131.0
강서구,2020,사망자수 (명),17.0
강서구,2020,인구 10만명당 부상자수 (명),363.7
강서구,2020,인구 10만명당 사망자수 (명),2.9
강서구,2020,자동차 1만대당 발생건수 (건),70.2
강서구,2021,발생건수 (건),1501.0
강서구,2021,부상자수 (명),2042.0
강서구,2021,사망자수 (명),13.0
강서구,2021,인구 10만명당 부상자수 (명),352.2
강서구,2021,인구 10만명당 사망자수 (명),2.2
강서구,2021,자동차 1만대당 발생건수 (건),66.8
강서구,2022,발생건수 (건),1606.0
강서구,2022,부상자수 (명),2108.0
강서구,2022,사망자수 (명),15.0
강서구,2022,인구 10만명당 부상자수 (명),366.8
강서구,2022,인구 10만명당 사망자수 (명),2.6
강서구,2022,자동차 1만대당 발생건수 (건),71.1
강서구,2023,발생건수 (건),1518.0
강서구,2023,부상자수 (명),2112.0
강서구,2023,사망자수 (명),9.0
강서구,2023,인구 10만명당 부상자수 (명),371.3
강서구,2023,인구 10만명당 사망자수 (명),1.6
강서구,2023,자동차 1만대당 발생건수 (건),67.7
관악구,2005,발생건수 (건),1644.0
관악구,2005,부상자수 (명),2349.0
관악구,2005,사망자수 (명),25.0
관악구,2005,인구 10만명당 부상자수 (명),437.2
관악구,2005,인구 10만명당 사망자수 (명),4.7
관악구,2005,자동차 1만대당 발생건수 (건),120.7
