district,metric,year,weather,count
용산구,부상자 (명),2015,흐림,62
용산구,부상자 (명),2016,눈,1
용산구,부상자 (명),2016,맑음,1907
용산구,부상자 (명),2016,비,113
용산구,부상자 (명),2016,안개,-
용산구,부상자 (명),2016,흐림,47
용산구,부상자 (명),2017,눈,30
용산구,부상자 (명),2017,맑음,1790
용산구,부상자 (명),2017,비,66
용산구,부상자 (명),2017,안개,-
용산구,부상자 (명),2017,흐림,63
용산구,부상자 (명),2018,눈,6
용산구,부상자 (명),2018,맑음,1682
용산구,부상자 (명),2018,비,89
용산구,부상자 (명),2018,안개,-
용산구,부상자 (명),2018,흐림,62
용산구,부상자 (명),2019,눈,2
용산구,부상자 (명),2019,맑음,1446
용산구,부상자 (명),2019,비,96
용산구,부상자 (명),2019,안개,-
용산구,부상자 (명),2019,흐림,65
용산구,부상자 (명),2020,눈,1
용산구,부상자 (명),2020,맑음,1051
용산구,부상자 (명),2020,비,73
용산구,부상자 (명),2020,안개,-
용산구,부상자 (명),2020,흐림,37
용산구,부상자 (명),2021,눈,8
용산구,부상자 (명),2021,맑음,1225
용산구,부상자 (명),2021,비,96
용산구,부상자 (명),2021,안개,-
용산구,부상자 (명),2021,흐림,30
용산구,부상자 (명),2022,눈,1
용산구,부상자 (명),2022,맑음,1141
용산구,부상자 (명),2022,비,37
용산구,부상자 (명),2022,안개,-
용산구,부상자 (명),2022,흐림,45
용산구,부상자 (명),2023,눈,3
용산구,부상자 (명),2023,맑음,1221
용산구,부상자 (명),2023,비,58
용산구,부상자 (명),2023,안개,-
용산구,부상자 (명),2023,흐림,22
성동구,발생건수 (건),2013,눈,5
성동구,발생건수 (건),2013,맑음,947
성동구,발생건수 (건),2013,비,73
성동구,발생건수 (건),2013,안개,-
성동구,발생건수 (건),2013,흐림,38
성동구,발생건수 (건),2014,눈,11
성동구,발생건수 (건),2014,맑음,1069
성동구,발생건수 (건),2014,비,56
성동구,발생건수 (건),2014,안개,-
성동구,발생건수 (건),2014,흐림,19
성동구,발생건수 (건),2015,눈,4
성동구,발생건수 (건),2015,맑음,1099
성동구,발생건수 (건),2015,비,86
성동구,발생건수 (건),2015,안개,-
성동구,발생건수 (건),2015,흐림,33
성동구,발생건수 (건),2016,눈,3
성동구,발생건수 (건),2016,맑음,1028
성동구,발생건수 (건),2016,비,50
성동구,발생건수 (건),2016,안개,-
성동구,발생건수 (건),2016,흐림,15
성동구,발생건수 (건),2017,눈,3
성동구,발생건수 (건),2017,맑음,951
성동구,발생건수 (건),2017,비,49
성동구,발생건수 (건),2017,안개,4
성동구,발생건수 (건),2017,흐림,68
성동구,발생건수 (건),2018,눈,8
성동구,발생건수 (건),2018,맑음,1001
성동구,발생건수 (건),2018,비,69
성동구,발생건수 (건),2018,안개,-
성동구,발생건수 (건),2018,흐림,65
성동구,발생건수 (건),2019,눈,1
성동구,발생건수 (건),2019,맑음,1021
성동구,발생건수 (건),2019,비,45
성동구,발생건수 (건),2019,안개,-
성동구,발생건수 (건),2019,흐림,23
성동구,발생건수 (건),2020,눈,1
성동구,발생건수 (건),2020,맑음,1016
성동구,발생건수 (건),2020,비,77
성동구,발생건수 (건),2020,안개,-
성동구,발생건수 (건),2020,흐림,25
성동구,발생건수 (건),2021,눈,3
성동구,발생건수 (건),2021,맑음,947
성동구,발생건수 (건),2021,비,46
성동구,발생건수 (건),2021,안개,-
성동구,발생건수 (건),2021,흐림,29
성동구,발생건수 (건),2022,눈,5
성동구,발생건수 (건),2022,맑음,837
성동구,발생건수 (건),2022,비,47
성동구,발생건수 (건),2022,안개,-
성동구,발생건수 (건),2022,흐림,53
성동구,발생건수 (건),2023,눈,8
성동구,발생건수 (건),2023,맑음,808
성동구,발생건수 (건),2023,비,68
성동구,발생건수 (건),2023,안개,-
성동구,발생건수 (건),2023,흐림,35
성동구,사망자 (명),2013,눈,-
성동구,사망자 (명),2013,맑음,6
성동구,사망자 (명),2013,비,1
성동구,사망자 (명),2013,안개,-
성동구,사망자 (명),2013,흐림,1
성동구,사망자 (명),2014,눈,-
