연월,구,대중교통_승객_수
2024-10-01,중랑구,7538966
2024-10-01,중구,19515980
2024-10-01,종로구,15890398
2024-10-01,은평구,10644677
2024-10-01,용산구,9375840
2024-10-01,동작구,10685025
2024-10-01,양천구,7775611
2024-10-01,성북구,11350644
2024-10-01,성동구,9732591
2024-10-01,서초구,18495629
2024-10-01,서대문구,8981689
2024-10-01,영등포구,15237104
2024-11-01,도봉구,6181741
2024-11-01,농원구,885746
2024-11-01,노원구,8872887
2024-11-01,금천구,5529692
2024-11-01,구로구,10824642
2024-11-01,강서구,11747853
2024-11-01,관악구,16168482
2024-11-01,강북구,8065982
2024-11-01,강동구,7757763
2024-11-01,동대문구,8967045
2024-11-01,광진구,9250855
2024-11-01,강남구,25028261
2024-11-01,동작구,10599221
2024-11-01,서대문구,8932836
2024-11-01,마포구,15598412
2024-11-01,중랑구,7497999
2024-11-01,중구,19264292
2024-11-01,종로구,15547101
2024-11-01,용산구,9094043
2024-11-01,은평구,10512633
2024-11-01,양천구,7787370
2024-11-01,송파구,16669099
2024-11-01,성북구,11300381
2024-11-01,성동구,9716136
2024-11-01,서초구,18662827
2024-11-01,영등포구,15135968
2024-12-01,금천구,5529150
2024-12-01,도봉구,6161523
2024-12-01,농원구,860132
2024-12-01,노원구,8820689
2024-12-01,구로구,10948392
2024-12-01,강남구,24964822
2024-12-01,관악구,16239812
