district,year,weather,발생건수,사상자수
서초구,2013,눈,15.0,23.0
서초구,2013,맑음,1798.0,2909.0
서초구,2013,비,171.0,274.0
서초구,2013,흐림,70.0,116.0
서초구,2014,눈,9.0,15.0
서초구,2014,맑음,1987.0,3087.0
서초구,2014,비,157.0,259.0
서초구,2014,흐림,54.0,80.0
서초구,2015,눈,5.0,7.0
서초구,2015,맑음,1900.0,2986.0
서초구,2015,비,175.0,267.0
서초구,2015,흐림,75.0,113.0
서초구,2016,눈,7.0,12.0
서초구,2016,맑음,2101.0,3164.0
서초구,2016,비,146.0,219.0
서초구,2016,흐림,55.0,90.0
서초구,2017,눈,12.0,14.0
서초구,2017,맑음,2151.0,3236.0
서초구,2017,비,108.0,192.0
서초구,2017,흐림,84.0,120.0
서초구,2018,눈,17.0,30.0
서초구,2018,맑음,2226.0,3299.0
서초구,2018,비,148.0,194.0
서초구,2018,흐림,70.0,116.0
서초구,2019,눈,3.0,6.0
서초구,2019,맑음,2211.0,3246.0
서초구,2019,비,117.0,167.0
서초구,2019,흐림,56.0,87.0
서초구,2020,눈,5.0,5.0
서초구,2020,맑음,2020.0,2730.0
서초구,2020,비,136.0,212.0
서초구,2020,흐림,61.0,101.0
서초구,2021,눈,12.0,18.0
서초구,2021,맑음,1858.0,2569.0
서초구,2021,비,148.0,212.0
서초구,2021,흐림,83.0,121.0
서초구,2022,눈,7.0,10.0
서초구,2022,맑음,2040.0,3061.0
서초구,2022,비,122.0,183.0
서초구,2022,흐림,69.0,101.0
서초구,2023,눈,8.0,13.0
서초구,2023,맑음,1908.0,2939.0
서초구,2023,비,147.0,218.0
서초구,2023,흐림,92.0,138.0
성동구,2013,눈,5.0,5.0
성동구,2013,맑음,947.0,1252.0
성동구,2013,비,73.0,102.0
성동구,2013,흐림,38.0,55.0
성동구,2014,눈,11.0,19.0
성동구,2014,맑음,1069.0,1542.0
성동구,2014,비,56.0,78.0
성동구,2014,흐림,19.0,31.0
성동구,2015,눈,4.0,5.0
성동구,2015,맑음,1099.0,1534.0
성동구,2015,비,86.0,132.0
성동구,2015,흐림,33.0,55.0
성동구,2016,눈,3.0,8.0
성동구,2016,맑음,1028.0,1447.0
성동구,2016,비,50.0,73.0
성동구,2016,흐림,15.0,23.0
성동구,2017,눈,3.0,3.0
성동구,2017,맑음,951.0,1339.0
성동구,2017,비,49.0,73.0
성동구,2017,흐림,68.0,92.0
성동구,2018,눈,8.0,9.0
성동구,2018,맑음,1001.0,1379.0
성동구,2018,비,69.0,100.0
성동구,2018,흐림,65.0,82.0
성동구,2019,눈,1.0,1.0
성동구,2019,맑음,1021.0,1359.0
성동구,2019,비,45.0,61.0
성동구,2019,흐림,23.0,30.0
성동구,2020,눈,1.0,1.0
성동구,2020,맑음,1016.0,1360.0
성동구,2020,비,77.0,96.0
성동구,2020,흐림,25.0,33.0
성동구,2021,눈,3.0,3.0
성동구,2021,맑음,947.0,1231.0
성동구,2021,비,46.0,58.0
성동구,2021,흐림,29.0,33.0
성동구,2022,눈,5.0,13.0
성동구,2022,맑음,837.0,1076.0
성동구,2022,비,47.0,59.0
성동구,2022,흐림,53.0,76.0
성동구,2023,눈,8.0,11.0
성동구,2023,맑음,808.0,1074.0
성동구,2023,비,68.0,95.0
성동구,2023,흐림,35.0,47.0
성북구,2013,눈,15.0,33.0
성북구,2013,맑음,1292.0,1789.0
성북구,2013,비,124.0,178.0
성북구,2013,흐림,100.0,152.0
성북구,2014,눈,16.0,22.0
성북구,2014,맑음,1462.0,1984.0
성북구,2014,비,96.0,119.0
성북구,2014,흐림,89.0,118.0
성북구,2015,눈,1.0,1.0
성북구,2015,맑음,1438.0,1979.0
성북구,2015,비,124.0,176.0
성북구,2015,흐림,113.0,145.0
성북구,2016,눈,1.0,1.0
성북구,2016,맑음,1414.0,1843.0
성북구,2016,비,96.0,125.0
성북구,2016,흐림,107.0,150.0
성북구,2017,눈,9.0,14.0
성북구,2017,맑음,1352.0,1824.0
성북구,2017,비,102.0,142.0
성북구,2017,흐림,91.0,101.0
성북구,2018,눈,10.0,12.0
성북구,2018,맑음,1209.0,1672.0
성북구,2018,비,97.0,157.0
성북구,2018,흐림,111.0,153.0
성북구,2019,눈,3.0,3.0
성북구,2019,맑음,1325.0,1784.0
