구,연월,지하철_승객_수
동대문구,2022-06,2923791.0
동대문구,2022-07,2964156.0
동대문구,2022-08,2948147.0
동대문구,2022-09,2895243.0
동대문구,2022-10,3281660.0
동대문구,2022-11,3192051.0
동대문구,2022-12,3107590.0
동대문구,2023-01,2809910.0
동대문구,2023-02,2841295.0
동대문구,2023-03,3434178.0
동대문구,2023-04,3223072.0
동대문구,2023-05,3333156.0
동대문구,2023-06,3164973.0
동대문구,2023-07,2993175.0
동대문구,2023-08,2973847.0
동대문구,2023-09,3193072.0
동대문구,2023-10,3280525.0
동대문구,2023-11,3329571.0
동대문구,2023-12,3246039.0
동대문구,2024-01,3121342.0
동대문구,2024-02,2875514.0
동대문구,2024-03,3497070.0
동대문구,2024-04,3390243.0
동대문구,2024-05,3514494.0
동대문구,2024-06,3199448.0
동대문구,2024-07,3143201.0
동대문구,2024-08,2928017.0
동대문구,2024-09,3136488.0
동대문구,2024-10,3467127.0
동대문구,2024-11,3444180.0
동대문구,2024-12,3321508.0
동대문구,2025-01,2739731.0
동대문구,2025-02,2891451.0
동대문구,2025-03,3493472.0
동대문구,2025-04,687555.0
동작구,2021-11,146846.0
동작구,2021-12,280610.0
동작구,2022-01,3839436.0
동작구,2022-02,3257664.0
동작구,2022-03,3739463.0
동작구,2022-04,4247660.0
동작구,2022-05,4641654.0
동작구,2022-06,4407555.0
동작구,2022-07,4419717.0
동작구,2022-08,4372945.0
동작구,2022-09,4226678.0
동작구,2022-10,4812967.0
동작구,2022-11,4757986.0
동작구,2022-12,4617520.0
동작구,2023-01,4154193.0
동작구,2023-02,4192787.0
동작구,2023-03,5034271.0
동작구,2023-04,4788775.0
동작구,2023-05,4915055.0
동작구,2023-06,4704029.0
동작구,2023-07,4489499.0
동작구,2023-08,4387161.0
동작구,2023-09,4625536.0
동작구,2023-10,4811573.0
동작구,2023-11,4890219.0
동작구,2023-12,4777096.0
동작구,2024-01,4573504.0
동작구,2024-02,4150267.0
동작구,2024-03,5005702.0
동작구,2024-04,5049665.0
동작구,2024-05,5099611.0
동작구,2024-06,4686263.0
동작구,2024-07,4641027.0
동작구,2024-08,4264181.0
동작구,2024-09,4485839.0
동작구,2024-10,5025337.0
동작구,2024-11,5027252.0
동작구,2024-12,4961142.0
동작구,2025-01,4006543.0
동작구,2025-02,4276822.0
동작구,2025-03,5351326.0
동작구,2025-04,1028443.0
마포구,2021-11,248791.0
마포구,2021-12,501899.0
마포구,2022-01,6881614.0
마포구,2022-02,5806697.0
마포구,2022-03,6516385.0
마포구,2022-04,7304247.0
마포구,2022-05,8188177.0
마포구,2022-06,7763655.0
마포구,2022-07,8115576.0
마포구,2022-08,8016000.0
마포구,2022-09,7472508.0
마포구,2022-10,8698704.0
마포구,2022-11,8379359.0
마포구,2022-12,8572480.0
마포구,2023-01,7706981.0
마포구,2023-02,7938709.0
마포구,2023-03,9129599.0
마포구,2023-04,8710494.0
마포구,2023-05,8878598.0
마포구,2023-06,8610831.0
마포구,2023-07,8658905.0
마포구,2023-08,8365176.0
마포구,2023-09,8346740.0
마포구,2023-10,8967756.0
마포구,2023-11,8983136.0
마포구,2023-12,8985400.0
마포구,2024-01,8568857.0
마포구,2024-02,7992763.0
마포구,2024-03,9353752.0
마포구,2024-04,9233586.0
마포구,2024-05,9444255.0
마포구,2024-06,8709368.0
마포구,2024-07,8971113.0
마포구,2024-08,8300313.0
마포구,2024-09,8406374.0
마포구,2024-10,9413329.0
마포구,2024-11,9293345.0
마포구,2024-12,9377723.0
마포구,2025-01,7553350.0
마포구,2025-02,8184368.0
마포구,2025-03,9357204.0
마포구,2025-04,1852372.0
서대문구,2021-11,93911.0
서대문구,2021-12,179205.0
서대문구,2022-01,2423448.0
서대문구,2022-02,2071013.0
서대문구,2022-03,2340198.0
서대문구,2022-04,2636084.0
서대문구,2022-05,2933618.0
서대문구,2022-06,2759541.0
서대문구,2022-07,2862014.0
서대문구,2022-08,2843003.0
서대문구,2022-09,2700013.0
서대문구,2022-10,3114913.0
서대문구,2022-11,3072337.0
서대문구,2022-12,2986973.0
서대문구,2023-01,2694762.0
서대문구,2023-02,2782371.0
서대문구,2023-03,3305430.0
서대문구,2023-04,3093548.0
서대문구,2023-05,3207551.0
서대문구,2023-06,3071145.0
서대문구,2023-07,2994244.0
서대문구,2023-08,2924207.0
서대문구,2023-09,3033696.0
서대문구,2023-10,3106925.0
서대문구,2023-11,3242751.0
서대문구,2023-12,3127063.0
서대문구,2024-01,3026324.0
서대문구,2024-02,2751717.0
서대문구,2024-03,3293463.0
서대문구,2024-04,3230718.0
서대문구,2024-05,3320005.0
서대문구,2024-06,3024002.0
서대문구,2024-07,3091811.0
서대문구,2024-08,2810505.0
서대문구,2024-09,2894339.0
서대문구,2024-10,3249740.0
서대문구,2024-11,3268559.0
서대문구,2024-12,3241208.0
서대문구,2025-01,2573738.0
서대문구,2025-02,2814117.0
서대문구,2025-03,3333560.0
서대문구,2025-04,655912.0
서초구,2021-11,341152.0
서초구,2021-12,641279.0
서초구,2022-01,8961683.0
서초구,2022-02,7597953.0
서초구,2022-03,8181106.0
서초구,2022-04,9458540.0
서초구,2022-05,10540155.0
서초구,2022-06,10023269.0
서초구,2022-07,10484657.0
서초구,2022-08,10350394.0
서초구,2022-09,9421980.0
서초구,2022-10,10715397.0
서초구,2022-11,10601897.0
서초구,2022-12,10693640.0
서초구,2023-01,9889546.0
서초구,2023-02,10106584.0
서초구,2023-03,11232287.0
서초구,2023-04,10660882.0
서초구,2023-05,10970577.0
서초구,2023-06,10675169.0
서초구,2023-07,10712787.0
서초구,2023-08,10335717.0
서초구,2023-09,10226410.0
서초구,2023-10,10666158.0
서초구,2023-11,10963461.0
서초구,2023-12,10911486.0
서초구,2024-01,10772655.0
서초구,2024-02,9894052.0
서초구,2024-03,11156195.0
서초구,2024-04,11058956.0
서초구,2024-05,11275986.0
서초구,2024-06,10573762.0
서초구,2024-07,10962103.0
서초구,2024-08,10089089.0
서초구,2024-09,10026715.0
서초구,2024-10,11041659.0
서초구,2024-11,11264397.0
서초구,2024-12,11469652.0
서초구,2025-01,9364555.0
서초구,2025-02,10265380.0
서초구,2025-03,11025770.0
서초구,2025-04,2193747.0
성동구,2021-11,190033.0
성동구,2021-12,358676.0
성동구,2022-01,4803376.0
성동구,2022-02,4080958.0
성동구,2022-03,4716251.0
성동구,2022-04,5403241.0
성동구,2022-05,5844417.0
성동구,2022-06,5420322.0
성동구,2022-07,5534309.0
성동구,2022-08,5514329.0
성동구,2022-09,5133639.0
성동구,2022-10,5913284.0
성동구,2022-11,5899619.0
성동구,2022-12,5775660.0
성동구,2023-01,5222730.0
성동구,2023-02,5349549.0
성동구,2023-03,6307902.0
성동구,2023-04,6018443.0
성동구,2023-05,6090043.0
성동구,2023-06,5868243.0
성동구,2023-07,5747324.0
성동구,2023-08,5597610.0
성동구,2023-09,5676088.0
성동구,2023-10,5997861.0
성동구,2023-11,6186540.0
성동구,2023-12,6117140.0
성동구,2024-01,5858890.0
성동구,2024-02,5376174.0
성동구,2024-03,6440418.0
성동구,2024-04,6485482.0
성동구,2024-05,6479554.0
성동구,2024-06,5982841.0
성동구,2024-07,6066424.0
성동구,2024-08,5527103.0
성동구,2024-09,5746718.0
성동구,2024-10,6520939.0
성동구,2024-11,6551034.0
성동구,2024-12,6505643.0
성동구,2025-01,5153725.0
성동구,2025-02,5683713.0
성동구,2025-03,6623195.0
성동구,2025-04,1333723.0
성북구,2021-11,122968.0
성북구,2021-12,234241.0
성북구,2022-01,3163455.0
성북구,2022-02,2716442.0
성북구,2022-03,3214841.0
성북구,2022-04,3596637.0
성북구,2022-05,4012723.0
성북구,2022-06,3634173.0
성북구,2022-07,3606806.0
성북구,2022-08,3568806.0
