동별,구분별,연월,거주인구,유동인구
강북구,계,2016-07-01,332116,0
강북구,계,2016-08-01,332116,0
강북구,계,2016-09-01,332116,0
강북구,계,2016-10-01,330704,0
강북구,계,2016-11-01,330704,0
강북구,계,2016-12-01,330704,0
강북구,계,2017-01-01,330192,0
강북구,계,2017-02-01,330192,0
강북구,계,2017-03-01,330192,0
강북구,계,2017-04-01,330004,0
강북구,계,2017-05-01,330004,0
강북구,계,2017-06-01,330004,0
강북구,계,2017-07-01,329042,0
강북구,계,2017-08-01,329042,0
강북구,계,2017-09-01,329042,0
강북구,계,2017-10-01,328002,0
강북구,계,2017-11-01,328002,0
강북구,계,2017-12-01,328002,0
강북구,계,2018-01-01,327511,0
강북구,계,2018-02-01,327511,0
강북구,계,2018-03-01,327511,0
강북구,계,2018-04-01,326063,0
강북구,계,2018-05-01,326063,0
강북구,계,2018-06-01,326063,0
강북구,계,2018-07-01,324276,0
강북구,계,2018-08-01,324276,0
강북구,계,2018-09-01,324276,0
강북구,계,2018-10-01,322915,0
강북구,계,2018-11-01,322915,0
강북구,계,2018-12-01,322915,0
강북구,계,2019-01-01,321151,0
강북구,계,2019-02-01,321151,0
강북구,계,2019-03-01,321151,0
강북구,계,2019-04-01,319377,0
강북구,계,2019-05-01,319377,0
강북구,계,2019-06-01,319377,0
강북구,계,2019-07-01,317875,0
강북구,계,2019-08-01,317875,0
강북구,계,2019-09-01,317875,0
강북구,계,2019-10-01,317695,0
강북구,계,2019-11-01,317695,0
강북구,계,2019-12-01,317695,0
강북구,계,2020-01-01,316750,0
강북구,계,2020-02-01,316750,0
강북구,계,2020-03-01,316750,0
강북구,계,2020-04-01,315395,0
강북구,계,2020-05-01,315395,0
강북구,계,2020-06-01,315395,0
강북구,계,2020-07-01,313550,0
강북구,계,2020-08-01,313550,0
강북구,계,2020-09-01,313550,0
강북구,계,2020-10-01,311569,0
강북구,계,2020-11-01,311569,0
강북구,계,2020-12-01,311569,0
강북구,계,2021-01-01,307537,0
강북구,계,2021-02-01,307537,0
강북구,계,2021-03-01,307537,0
강북구,계,2021-04-01,306093,0
강북구,계,2021-05-01,306093,0
강북구,계,2021-06-01,306093,0
강북구,계,2021-07-01,304257,0
강북구,계,2021-08-01,304257,0
강북구,계,2021-09-01,304257,0
강북구,계,2021-10-01,302563,0
강북구,계,2021-11-01,302563,87569
강북구,계,2021-12-01,302563,174840
강북구,계,2022-01-01,300824,2334869
강북구,계,2022-02-01,300824,2018431
강북구,계,2022-03-01,300824,2278077
강북구,계,2022-04-01,300246,2532633
강북구,계,2022-05-01,300246,2763985
강북구,계,2022-06-01,300246,2575102
강북구,계,2022-07-01,298622,2606828
강북구,계,2022-08-01,298622,2570534
강북구,계,2022-09-01,298622,2449738
강북구,계,2022-10-01,297702,2796616
강북구,계,2022-11-01,297702,2720654
강북구,계,2022-12-01,297702,2702506
강북구,계,2023-01-01,296934,2454853
강북구,계,2023-02-01,296934,2477180
강북구,계,2023-03-01,296934,2892953
강북구,계,2023-04-01,295773,2743992
강북구,계,2023-05-01,295773,2825419
강북구,계,2023-06-01,295773,2700253
강북구,계,2023-07-01,294804,2641295
강북구,계,2023-08-01,294804,2580624
강북구,계,2023-09-01,294804,2642450
강북구,계,2023-10-01,292977,2770928
강북구,계,2023-11-01,292977,2773482
강북구,계,2023-12-01,292977,2762603
강북구,계,2024-01-01,291372,2640063
강북구,계,2024-02-01,291372,2435875
강북구,계,2024-03-01,291372,2849124
강북구,계,2024-04-01,290252,2810608
강북구,계,2024-05-01,290252,2880248
강북구,계,2024-06-01,290252,2662662
강북구,계,2024-07-01,289678,2690227
강북구,계,2024-08-01,289678,2484074
강북구,계,2024-09-01,289678,2566988
강북구,계,2024-10-01,289374,2837724
강북구,계,2024-11-01,289374,2827271
강북구,계,2024-12-01,289374,2819905
강북구,계,2025-01-01,288797,2296374
강북구,계,2025-02-01,288797,2461883
강북구,계,2025-03-01,288797,3047279
도봉구,계,2008-01-01,378390,0
도봉구,계,2008-02-01,378390,0
도봉구,계,2008-03-01,378390,0
도봉구,계,2008-04-01,378275,0
도봉구,계,2008-05-01,378275,0
도봉구,계,2008-06-01,378275,0
도봉구,계,2008-07-01,377399,0
도봉구,계,2008-08-01,377399,0
도봉구,계,2008-09-01,377399,0
도봉구,계,2008-10-01,376698,0
도봉구,계,2008-11-01,376698,0
도봉구,계,2008-12-01,376698,0
도봉구,계,2009-01-01,376087,0
도봉구,계,2009-02-01,376087,0
